1,17380852300,17380858200,00000005900,a00,read
1,01427440100,17398969800,15971529700,a23,nanosleep
1,17398976600,17399009700,00000033100,a00,read
1,17399019800,17399035700,00000015900,a00,read
1,17399038900,17399039100,00000000200,a00,read
1,17399043300,17399045700,00000002400,a02,open
1,17399046200,17434209700,00035163500,a23,nanosleep
1,17434225400,17434265800,00000040400,a00,read
1,17434280600,17434297500,00000016900,a00,read
1,17434302400,17434302600,00000000200,a00,read
1,17434308900,17434312300,00000003400,a02,open
1,17448259300,17448272600,00000013300,7ef,local_timer_vector
0,04807715500,20566154200,15758438700,a07,poll
0,20566202100,20571872300,00005670200,a07,poll
0,20566202100,20571877700,00005675600,a07,poll
0,20571880500,20584251800,00012371300,a07,poll
0,20584349800,20601681900,00017332100,a07,poll
0,20601683500,20601684300,00000000800,afe,inotify_add_watch
0,20601684500,20601684800,00000000300,afe,inotify_add_watch
0,20601685000,20601685200,00000000200,afe,inotify_add_watch
0,20601686300,20602343600,00000657300,a07,poll
0,20602387700,20615778000,00013390300,a07,poll
0,20615779900,20615780800,00000000900,afe,inotify_add_watch
0,20615781000,20615781300,00000000300,afe,inotify_add_watch
0,20615781500,20615781700,00000000200,afe,inotify_add_watch
0,20615782900,20620437500,00004654600,a07,poll
0,20627541300,20627554600,00000013300,7ef,local_timer_vector
0,20620480900,20629875900,00009395000,a07,poll
0,20629881200,20629883600,00000002400,afe,inotify_add_watch
0,20629884100,20629884600,00000000500,afe,inotify_add_watch
0,20629884700,20629885000,00000000300,afe,inotify_add_watch
0,20640022500,20640095400,00000072900,a17,select
0,20640096000,20640168200,00000072200,a17,select
0,20640168400,20640240200,00000071800,a17,select
0,20640240400,20640311900,00000071500,a17,select
0,20640312000,20640383500,00000071500,a17,select
0,20640383700,20640455200,00000071500,a17,select
0,20640455400,20640526900,00000071500,a17,select
0,20640527100,20640598500,00000071400,a17,select
0,20640598700,20640670200,00000071500,a17,select
0,20640670400,20640742100,00000071700,a17,select
0,20640742400,20640813800,00000071400,a17,select
0,20640814000,20640885500,00000071500,a17,select
0,20640885700,20640957400,00000071700,a17,select
0,20640957700,20641029000,00000071300,a17,select
0,20641029200,20641100600,00000071400,a17,select
0,20641100700,20641172000,00000071300,a17,select
0,20641172200,20641243600,00000071400,a17,select
0,20641243700,20641315000,00000071300,a17,select
0,20641315200,20641386700,00000071500,a17,select
0,20641386900,20641458300,00000071400,a17,select
0,20641458400,20641529800,00000071400,a17,select
0,20641530000,20641601400,00000071400,a17,select
0,20641601600,20641673200,00000071600,a17,select
0,20641673400,20641745100,00000071700,a17,select
0,20641738100,20641746500,00000008400,aca,futex
0,20641745300,20641817100,00000071800,a17,select
0,20641817500,20641819500,00000002000,aca,futex
0,20641864200,20641867700,00000003500,a18,sched_yield
0,20641868800,20641869600,00000000800,aca,futex
0,20641873800,20641875200,00000001400,aca,futex
0,20641877200,20641878300,00000001100,aca,futex
0,20641878700,20641950800,00000072100,a17,select
0,20641880100,20641952400,00000072300,aca,futex
0,20641951200,20642023100,00000071900,a17,select
0,20642023400,20642095100,00000071700,a17,select
0,20642095300,20642167100,00000071800,a17,select
0,20642167400,20642239100,00000071700,a17,select
0,20642239300,20642311000,00000071700,a17,select
0,20642311300,20642383100,00000071800,a17,select
0,20642383300,20642456600,00000073300,a17,select
0,20629887900,20643969600,00014081700,a07,poll
